Player,GP,GS,Minutes TOT,Minutes AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,Scoring AVG,OFF,DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
Malcolm Hill,34,34,1195,35.1,192,440,.436,37,118,.314,193,235,.821,614,18.1,43,180,223,6.6,88,112,75,42,15
Kendrick Nunn,28,25,982,35.1,155,362,.428,75,192,.391,50,63,.794,435,15.5,10,129,139,5.0,63,48,45,41,5
Mike Thorne Jr.,8,7,171,21.4,35,74,.473,0,0,.000,33,55,.600,103,12.9,24,44,68,8.5,18,2,10,2,5
Jalen Coleman-Lands,34,24,889,26.1,115,279,.412,87,206,.422,33,44,.750,350,10.3,9,55,64,1.9,68,30,36,22,3
Maverick Morgan,34,14,716,21.1,124,220,.564,0,0,.000,34,46,.739,282,8.3,33,85,118,3.5,64,19,39,13,16
Michael Finke,33,16,670,20.3,90,207,.435,40,109,.367,28,43,.651,248,7.5,45,76,121,3.7,61,32,31,4,5
Leron Black,7,2,100,14.3,15,36,.417,0,0,.000,1,2,.500,31,4.4,10,21,31,4.4,23,4,5,2,2
Khalid Lewis,32,19,741,23.2,47,127,.370,6,24,.250,26,37,.703,126,3.9,7,46,53,1.7,52,96,40,29,4
Aaron Jordan,31,6,353,11.4,31,95,.326,22,64,.344,19,23,.826,103,3.3,5,23,28,0.9,47,14,7,12,3
D.J. Williams,29,2,320,11.0,24,60,.400,2,12,.167,11,19,.579,61,2.1,16,25,41,1.4,27,10,22,7,4
Jaylon Tate,30,15,524,17.5,18,49,.367,2,11,.182,17,27,.630,55,1.8,1,38,39,1.3,39,75,24,12,3
Alex Austin,32,6,304,9.5,14,43,.326,6,28,.214,7,11,.636,41,1.3,8,35,43,1.3,34,20,7,13,0
Cameron Liss,5,0,10,2.0,1,1,1.000,0,0,.000,1,2,.500,3,0.6,0,0,0,0.0,1,1,1,0,0
TeamTMTeam,34,0,0,0.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,47,61,108,3.2,1,0,15,0,0
