Player,Hometown,High School,Class,Position,Seasons,seasons_played,lat,lon,state,country,is_illinois,is_us,is_international,has_geocode
Carl Bontemps,,,,G/C,['1944-45'],1,,,,,False,True,False,False
Don Delaney,"Grand Rapids, Mich.",Catholic Central,,C,['1944-45'],1,42.9632425,-85.6678639,MI,United States,False,True,False,True
Gordon Hortin,"Albion, Ill.",Albion,,G,['1944-45'],1,38.3775484,-88.0561465,IL,United States,True,True,False,True
Howard Judson,"Hebron, Ill.",Hebron,,F,['1944-45'],1,42.4716853,-88.432318,IL,United States,True,True,False,True
Jack Larson,,,,C,['1944-45'],1,,,,,False,True,False,False
Joe Sulenski,,,,F,['1944-45'],1,,,,,False,True,False,False
John Orr,"Taylorville, Ill.",Taylorville,,F/C,['1944-45'],1,39.5487452,-89.2941549,IL,United States,True,True,False,True
Lee Stickler,,,,,['1944-45'],1,,,,,False,True,False,False
Maurice Dolan,,,,F,['1944-45'],1,,,,,False,True,False,False
Paul Schnackenberg,,,,F,['1944-45'],1,,,,,False,True,False,False
Robert Morton,"Elgin, Ill.",Elgin,,F,['1944-45'],1,42.03726,-88.2810994,IL,United States,True,True,False,True
Roger Little,,,,G,['1944-45'],1,,,,,False,True,False,False
Vic Bubas,,,,G,['1944-45'],1,,,,,False,True,False,False
Bob Dannehl,,,,,['1945-46'],1,,,,,False,True,False,False
Cal Irvin,,,,,['1945-46'],1,,,,,False,True,False,False
Dean Meador,"Patoka, Ill.",Centralia,,F,['1945-46'],1,38.7553259,-89.0953417,IL,United States,True,True,False,True
George Leddy,"Chicago, Ill.",Kelvyn Park,,G,['1945-46'],1,41.8755616,-87.6244212,IL,United States,True,True,False,True
Harold Strange,,,,,['1945-46'],1,,,,,False,True,False,False
Jack Pierce,,,,,['1945-46'],1,,,,,False,True,False,False
Jake Staab,"Chillicothe, Ill.",Chillicothe,,F,"['1944-45', '1945-46']",2,40.9161637,-89.4884384,IL,United States,True,True,False,True
Jimmy Seyler,"Centralia, Ill.",Centralia,,G,"['1944-45', '1945-46']",2,38.5250491,-89.1334037,IL,United States,True,True,False,True
Leo Gedvilas,"Spring Valley, Ill.",Hall,,G,"['1944-45', '1945-46']",2,41.3275353,-89.1998078,IL,United States,True,True,False,True
Leo Swinford,"Paris, Ill.",Paris,,F,['1945-46'],1,39.611146,-87.6961374,IL,United States,True,True,False,True
Ray McClure,"Galesburg, Ill.",Galesburg,,F,['1945-46'],1,40.9475652,-90.3712169,IL,United States,True,True,False,True
Robert Jones,"West Frankfort, Ill.",West Frankfort,,C,['1945-46'],1,37.8978275,-88.9314583,IL,United States,True,True,False,True
Robert Olson,"St. Elmo, Ill.",St. Elmo,,G,['1945-46'],1,39.0272663,-88.8481139,IL,United States,True,True,False,True
Tony Esposito,,,,,['1945-46'],1,,,,,False,True,False,False
Wallie Mroz,"Chicago, Ill.",Wells,,F,"['1944-45', '1945-46']",2,41.8755616,-87.6244212,IL,United States,True,True,False,True
William Eddleman,"Anna, Ill.",Anna-Jonesboro,,G,"['1944-45', '1945-46']",2,37.4603274,-89.2470282,IL,United States,True,True,False,True
Andy Phillip,"Granite City, Ill.",Granite City,,F,['1946-47'],1,38.7014389,-90.1487199,IL,United States,True,True,False,True
Bob Lavoy,"Aurora, Ill.",East,,C,['1946-47'],1,41.7571701,-88.3147539,IL,United States,True,True,False,True
Chet Trost,"Champaign, Ill.",Champaign,,F,['1946-47'],1,40.1164841,-88.2430932,IL,United States,True,True,False,True
